"test_num","test_name","metric_name","status","metric_val","commit_message","commit_SHA","commit_date","benchmark_date"
1,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1468277,"Update unattach","68d9d6f27e2de2bcb46d2ad3194a2469d660389a",2020-04-22 08:27:08,2020-04-22 08:39:39
1,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.2412327,"Update unattach","68d9d6f27e2de2bcb46d2ad3194a2469d660389a",2020-04-22 08:27:08,2020-04-22 08:39:39
2,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.145761,"Update unattach","68d9d6f27e2de2bcb46d2ad3194a2469d660389a",2020-04-22 08:27:08,2020-04-22 08:39:41
2,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0306022,"Update unattach","68d9d6f27e2de2bcb46d2ad3194a2469d660389a",2020-04-22 08:27:08,2020-04-22 08:39:41
3,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1316295,"Update unattach","68d9d6f27e2de2bcb46d2ad3194a2469d660389a",2020-04-22 08:27:08,2020-04-22 08:39:42
3,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0304281,"Update unattach","68d9d6f27e2de2bcb46d2ad3194a2469d660389a",2020-04-22 08:27:08,2020-04-22 08:39:42
1,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1390367,"Update main.yml","f417f6d781fb35dd9b0842734cd2ac4531bf5f06",2020-04-22 08:26:32,2020-04-22 08:39:43
1,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0296742,"Update main.yml","f417f6d781fb35dd9b0842734cd2ac4531bf5f06",2020-04-22 08:26:32,2020-04-22 08:39:43
2,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1308242,"Update main.yml","f417f6d781fb35dd9b0842734cd2ac4531bf5f06",2020-04-22 08:26:32,2020-04-22 08:39:45
2,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0288529,"Update main.yml","f417f6d781fb35dd9b0842734cd2ac4531bf5f06",2020-04-22 08:26:32,2020-04-22 08:39:45
3,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.2404617,"Update main.yml","f417f6d781fb35dd9b0842734cd2ac4531bf5f06",2020-04-22 08:26:32,2020-04-22 08:39:46
3,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0288665,"Update main.yml","f417f6d781fb35dd9b0842734cd2ac4531bf5f06",2020-04-22 08:26:32,2020-04-22 08:39:46
1,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1376045,"Update test_non","ea6d6d2ff6e883e350ffec149eed4e1478ec73a0",2020-04-14 13:48:24,2020-04-22 08:39:48
1,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0266068,"Update test_non","ea6d6d2ff6e883e350ffec149eed4e1478ec73a0",2020-04-14 13:48:24,2020-04-22 08:39:48
2,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1322983,"Update test_non","ea6d6d2ff6e883e350ffec149eed4e1478ec73a0",2020-04-14 13:48:24,2020-04-22 08:39:49
2,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0303858,"Update test_non","ea6d6d2ff6e883e350ffec149eed4e1478ec73a0",2020-04-14 13:48:24,2020-04-22 08:39:49
3,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1305925,"Update test_non","ea6d6d2ff6e883e350ffec149eed4e1478ec73a0",2020-04-14 13:48:24,2020-04-22 08:39:50
3,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0300407,"Update test_non","ea6d6d2ff6e883e350ffec149eed4e1478ec73a0",2020-04-14 13:48:24,2020-04-22 08:39:50
1,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1382475,"Create main.yml","a075e31ceaf2952d8a9712e78e63c0f91a70778d",2020-04-14 13:47:47,2020-04-22 08:39:52
1,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0277858,"Create main.yml","a075e31ceaf2952d8a9712e78e63c0f91a70778d",2020-04-14 13:47:47,2020-04-22 08:39:52
2,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1295039,"Create main.yml","a075e31ceaf2952d8a9712e78e63c0f91a70778d",2020-04-14 13:47:47,2020-04-22 08:39:53
2,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0292612,"Create main.yml","a075e31ceaf2952d8a9712e78e63c0f91a70778d",2020-04-14 13:47:47,2020-04-22 08:39:53
3,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1297174,"Create main.yml","a075e31ceaf2952d8a9712e78e63c0f91a70778d",2020-04-14 13:47:47,2020-04-22 08:39:54
3,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0272532,"Create main.yml","a075e31ceaf2952d8a9712e78e63c0f91a70778d",2020-04-14 13:47:47,2020-04-22 08:39:54
1,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.130903,"remove Elem ex","c99383e48cf277816256ca68057ead3573d1f65e",2020-01-31 17:00:59,2020-04-22 08:39:56
1,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0272937,"remove Elem ex","c99383e48cf277816256ca68057ead3573d1f65e",2020-01-31 17:00:59,2020-04-22 08:39:56
2,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.1318813,"remove Elem ex","c99383e48cf277816256ca68057ead3573d1f65e",2020-01-31 17:00:59,2020-04-22 08:39:57
2,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0288974,"remove Elem ex","c99383e48cf277816256ca68057ead3573d1f65e",2020-01-31 17:00:59,2020-04-22 08:39:57
3,"Nonsyntactic variable names are accepted","runtime (in seconds)","Pass",0.127634,"remove Elem ex","c99383e48cf277816256ca68057ead3573d1f65e",2020-01-31 17:00:59,2020-04-22 08:39:59
3,"test_nonsyntactic.R","runtime (in seconds)","Pass",0.0278348,"remove Elem ex","c99383e48cf277816256ca68057ead3573d1f65e",2020-01-31 17:00:59,2020-04-22 08:39:59
